Search Condition
State,Glass
Composition
,Component Unit,mol%
Component,Main,,Component,,,,min,max
,Total of Main Components >=,0,%
Commercial Glass,
Glass System,All Oxide
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Refract Index 486.1nm F,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,50000

List Condition
,Component Unit,mol%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, SiO2, B2O3, Al2O3, MgO, CaO, BaO, Li2O, Na2O, K2O, ZnO, SrO, PbO, La2O3, TiO2, GeO2, ZrO2, P2O5, Refract Index 486.1nm F
1, GJ10-009663, J. Ceramic Soc. Japan, 1980, v. 088  p. 0191, , 76.0, , , , , , , , , , 24.0, , , , , , 1.676
2, GJ10-009664, J. Ceramic Soc. Japan, 1980, v. 088  p. 0191, , 68.0, , , , , , , , , , 32.0, , , , , , 1.746
3, GJ10-009665, J. Ceramic Soc. Japan, 1980, v. 088  p. 0191, , 60.0, , , , , , , , , , 40.0, , , , , , 1.828
4, GJ10-009666, J. Ceramic Soc. Japan, 1980, v. 088  p. 0191, , 52.0, , , , , , , , , , 48.0, , , , , , 1.903
5, GJ10-009667, J. Ceramic Soc. Japan, 1980, v. 088  p. 0191, , 44.0, , , , , , , , , , 56.0, , , , , , 1.964
6, GJ04-009668, J. Ceramic Soc. Japan, 1980, v. 088  p. 0191, 44.0, , , , , , , , , , , 56.0, , , , , , 1.98
7, GJ04-009669, J. Ceramic Soc. Japan, 1980, v. 088  p. 0191, 40.0, , , , , , , , , , , 60.0, , , , , , 2.103
8, GJ35-009670, J. Ceramic Soc. Japan, 1980, v. 088  p. 0191, , , , , , , , , , , , 40.0, , , 60.0, , , 1.999
9, GJ35-009671, J. Ceramic Soc. Japan, 1980, v. 088  p. 0191, , , , , , , , , , , , 48.0, , , 52.0, , , 2.056
10, GJ35-009672, J. Ceramic Soc. Japan, 1980, v. 088  p. 0191, , , , , , , , , , , , 56.0, , , 44.0, , , 2.129
11, GB03-012524, Handbook of Glass Properties, 1986, v. 001  p. 0591, 46.0, , , , , 40.0, , , , 14.0, , , , , , , , 1.688
12, GB03-012525, Handbook of Glass Properties, 1986, v. 001  p. 0591, 58.0, , , , , 36.0, , , , 6.0, , , , , , , , 1.644
13, GB03-012526, Handbook of Glass Properties, 1986, v. 001  p. 0591, 54.0, , , , , 36.0, , , , 10.0, , , , , , , , 1.663
14, GB03-012527, Handbook of Glass Properties, 1986, v. 001  p. 0591, 50.0, , , , , 36.0, , , , 14.0, , , , , , , , 1.675
15, GB03-012528, Handbook of Glass Properties, 1986, v. 001  p. 0591, 46.0, , , , , 36.0, , , , 18.0, , , , , , , , 1.686
16, GB03-012529, Handbook of Glass Properties, 1986, v. 001  p. 0591, 56.0, , , , , 34.0, , , , 10.0, , , , , , , , 1.653
17, GB03-012530, Handbook of Glass Properties, 1986, v. 001  p. 0591, 52.0, , , , , 34.0, , , , 14.0, , , , , , , , 1.662
18, GB03-012531, Handbook of Glass Properties, 1986, v. 001  p. 0591, 50.0, , , , , 34.0, , , , 16.0, , , , , , , , 1.671
19, GB03-012532, Handbook of Glass Properties, 1986, v. 001  p. 0591, 48.0, , , , , 34.0, , , , 18.0, , , , , , , , 1.678
20, GB03-012533, Handbook of Glass Properties, 1986, v. 001  p. 0591, 46.0, , , , , 34.0, , , , 20.0, , , , , , , , 1.68
21, GB03-012534, Handbook of Glass Properties, 1986, v. 001  p. 0591, 64.0, , , , , 33.0, , , , 3.0, , , , , , , , 1.619
22, GB03-012535, Handbook of Glass Properties, 1986, v. 001  p. 0591, 52.0, , , , , 32.0, , , , 16.0, , , , , , , , 1.665
23, GB03-012536, Handbook of Glass Properties, 1986, v. 001  p. 0591, 50.0, , , , , 32.0, , , , 18.0, , , , , , , , 1.672
24, GB03-012537, Handbook of Glass Properties, 1986, v. 001  p. 0591, 64.0, , , , , 30.0, , , , 6.0, , , , , , , , 1.622
25, GB03-012538, Handbook of Glass Properties, 1986, v. 001  p. 0591, 62.0, , , , , 30.0, , , , 8.0, , , , , , , , 1.63
26, GB03-012539, Handbook of Glass Properties, 1986, v. 001  p. 0591, 60.0, , , , , 30.0, , , , 10.0, , , , , , , , 1.636
27, GB03-012540, Handbook of Glass Properties, 1986, v. 001  p. 0591, 58.0, , , , , 30.0, , , , 12.0, , , , , , , , 1.641
28, GB03-012541, Handbook of Glass Properties, 1986, v. 001  p. 0591, 56.0, , , , , 30.0, , , , 14.0, , , , , , , , 1.65
29, GB03-012542, Handbook of Glass Properties, 1986, v. 001  p. 0591, 54.0, , , , , 30.0, , , , 16.0, , , , , , , , 1.657
30, GB03-012543, Handbook of Glass Properties, 1986, v. 001  p. 0591, 52.0, , , , , 30.0, , , , 18.0, , , , , , , , 1.663
31, GB03-012544, Handbook of Glass Properties, 1986, v. 001  p. 0591, 50.0, , , , , 30.0, , , , 20.0, , , , , , , , 1.669
32, GB03-012545, Handbook of Glass Properties, 1986, v. 001  p. 0591, 62.0, , , , , 28.0, , , , 10.0, , , , , , , , 1.627
33, GB03-012546, Handbook of Glass Properties, 1986, v. 001  p. 0591, 60.0, , , , , 28.0, , , , 12.0, , , , , , , , 1.634
34, GB03-012547, Handbook of Glass Properties, 1986, v. 001  p. 0591, 58.0, , , , , 28.0, , , , 14.0, , , , , , , , 1.644
35, GB03-012548, Handbook of Glass Properties, 1986, v. 001  p. 0591, 56.0, , , , , 28.0, , , , 16.0, , , , , , , , 1.649
36, GB03-012549, Handbook of Glass Properties, 1986, v. 001  p. 0591, 52.0, , , , , 28.0, , , , 20.0, , , , , , , , 1.661
37, GB03-012550, Handbook of Glass Properties, 1986, v. 001  p. 0591, 48.0, , , , , 28.0, , , , 24.0, , , , , , , , 1.677
38, GB03-012551, Handbook of Glass Properties, 1986, v. 001  p. 0591, 46.0, , , , , 28.0, , , , 26.0, , , , , , , , 1.684
39, GB03-012552, Handbook of Glass Properties, 1986, v. 001  p. 0591, 70.0, , , , , 26.0, , , , 4.0, , , , , , , , 1.597
40, GB03-012553, Handbook of Glass Properties, 1986, v. 001  p. 0591, 68.0, , , , , 26.0, , , , 6.0, , , , , , , , 1.605
41, GB03-012554, Handbook of Glass Properties, 1986, v. 001  p. 0591, 66.0, , , , , 26.0, , , , 8.0, , , , , , , , 1.613
42, GB03-012555, Handbook of Glass Properties, 1986, v. 001  p. 0591, 64.0, , , , , 26.0, , , , 10.0, , , , , , , , 1.617
43, GB03-012556, Handbook of Glass Properties, 1986, v. 001  p. 0591, 62.0, , , , , 26.0, , , , 12.0, , , , , , , , 1.626
44, GB03-012557, Handbook of Glass Properties, 1986, v. 001  p. 0591, 60.0, , , , , 26.0, , , , 14.0, , , , , , , , 1.632
45, GB03-012558, Handbook of Glass Properties, 1986, v. 001  p. 0591, 58.0, , , , , 26.0, , , , 16.0, , , , , , , , 1.642
46, GB03-012559, Handbook of Glass Properties, 1986, v. 001  p. 0591, 56.0, , , , , 26.0, , , , 18.0, , , , , , , , 1.647
47, GB03-012560, Handbook of Glass Properties, 1986, v. 001  p. 0591, 54.0, , , , , 26.0, , , , 20.0, , , , , , , , 1.656
48, GB03-012561, Handbook of Glass Properties, 1986, v. 001  p. 0591, 50.0, , , , , 26.0, , , , 24.0, , , , , , , , 1.67
49, GB07-012562, Handbook of Glass Properties, 1986, v. 001  p. 0591, 46.0, , , , , 26.0, , , , 28.0, , , , , , , , 1.683
50, GB03-012563, Handbook of Glass Properties, 1986, v. 001  p. 0591, 70.0, , , , , 24.0, , , , 6.0, , , , , , , , 1.595
51, GB03-012564, Handbook of Glass Properties, 1986, v. 001  p. 0591, 66.0, , , , , 24.0, , , , 10.0, , , , , , , , 1.61
52, GB03-012565, Handbook of Glass Properties, 1986, v. 001  p. 0591, 62.0, , , , , 24.0, , , , 14.0, , , , , , , , 1.624
53, GB03-012566, Handbook of Glass Properties, 1986, v. 001  p. 0592, 46.0, , , , , 30.0, , , , 24.0, , , , , , , , 1.683
54, GB03-012567, Handbook of Glass Properties, 1986, v. 001  p. 0592, 70.0, , , , , 28.0, , , , 2.0, , , , , , , , 1.601
55, GB03-012568, Handbook of Glass Properties, 1986, v. 001  p. 0592, 64.0, , , , , 28.0, , , , 8.0, , , , , , , , 1.618
56, GB03-012569, Handbook of Glass Properties, 1986, v. 001  p. 0592, 52.0, , , , , 24.0, , , , 24.0, , , , , , , , 1.66
57, GB07-012570, Handbook of Glass Properties, 1986, v. 001  p. 0592, 50.0, , , , , 24.0, , , , 26.0, , , , , , , , 1.672
