,SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,ZnO,SrO,PbO,Y2O3,La2O3,TiO2,GeO2,ZrO2,P2O5,nd
0,0.725,0.125,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.514
1,0.4194,0.0377,0.0184,0.0,0.05,0.2145,0.047,0.0,0.0,0.1289,0.0,0.0,0.0,0.0324,0.0128,0.0,0.0387,0.0,1.675
2,0.5385,0.0,0.0,0.0,0.0,0.0,0.0,0.0043,0.0070999999999999,0.0,0.0,0.4485,0.0,0.0,0.0,0.0,0.0,0.0,1.8484
3,0.1,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.646
4,0.3957,0.1123,0.0,0.0,0.0,0.1678,0.0,0.0,0.0,0.174,0.0729,0.0,0.0,0.0116,0.0435,0.0,0.0139,0.0,1.69929
5,0.4997999999999999,0.1413,0.0277,0.0,0.0,0.126,0.1429,0.0233,0.0038,0.0302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.59
6,0.52,0.24,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.528
7,0.242,0.514,0.0,0.0,0.0,0.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.598
8,0.4501,0.146,0.0,0.0,0.0,0.0,0.0198,0.0446,0.0168,0.1104,0.0,0.2043,0.0,0.0,0.0,0.0,0.0,0.0,1.6987
9,0.5765,0.0,0.0339,0.0,0.0,0.0,0.087,0.1117,0.0367,0.0,0.0,0.1435,0.0,0.0106,0.0,0.0,0.0,0.0,1.633
10,0.4255,0.0101,0.0209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4881,0.0,0.0,0.0533,0.0,0.0,0.0,1.94
11,0.5653,0.0776999999999999,0.0687,0.0723,0.1895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081,0.0,0.0,0.0,1.5554
12,0.1364,0.4997999999999999,0.0088,0.0,0.2823,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0297,0.0379,0.0,0.0,0.0,0.0,1.64
13,0.7000000000000001,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.542
14,0.6656000000000001,0.075,0.1037,0.0550999999999999,0.085,0.0106,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.524
15,0.3994,0.1591,0.0072,0.0,0.0,0.0,0.1236,0.0298,0.0637,0.0,0.0,0.215,0.0,0.0,0.0,0.0,0.0,0.0,1.688
16,0.5201,0.0,0.2405,0.0,0.0,0.0,0.0,0.1574,0.0,0.0804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5325
17,0.75,0.0,0.0,0.0,0.15,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.521
18,0.0,0.7447,0.0868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1675,0.0,0.0,0.0,0.0,0.0,0.0,1.6131
19,0.6075,0.0132,0.0,0.0,0.0503,0.0598,0.0118,0.0569,0.0599,0.0693,0.0,0.0,0.0,0.0,0.0706,0.0,0.0,0.0,1.6
20,0.239,0.397,0.0,0.0,0.0,0.364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.643
21,0.7683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.498
22,0.703,0.1533,0.0,0.0,0.0,0.0,0.0,0.1437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.512
23,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.6900000000000001,1.5883
24,0.4154,0.0,0.01,0.024,0.036,0.05,0.0639,0.0,0.009,0.0621,0.0279999999999999,0.0,0.0819999999999999,0.004,0.1852,0.0,0.0283999999999999,0.0,1.8
25,0.4175,0.0501999999999999,0.0,0.0,0.0735,0.1929,0.0479,0.0,0.0,0.1057,0.0,0.0,0.0,0.0227999999999999,0.047,0.0,0.0378,0.0,1.72
26,0.0,0.1272,0.0316,0.0,0.4881,0.0,0.0808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2723,1.5975
27,0.0,0.5963,0.0,0.0,0.0,0.0,0.0,0.3975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.579
28,0.4086,0.1152,0.0,0.0,0.0,0.1668,0.0,0.0,0.0,0.1729,0.0725,0.0,0.0,0.0,0.0432,0.0,0.0138,0.0,1.71435
29,0.7628,0.071,0.0458,0.0019,0.0006,0.0,0.0,0.1126,0.0053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.497
30,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.26,1.894
31,0.205,0.1895,0.0,0.0,0.0,0.2394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134,0.2321,0.0,0.0,0.0,1.86
32,0.3272,0.3215,0.0204,0.0,0.057,0.0419,0.0,0.0,0.0,0.0491,0.1477,0.0,0.0,0.0279,0.0,0.0,0.0064,0.0,1.627
33,0.0,0.8956000000000001,0.0,0.0,0.0,0.0,0.0,0.0994999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
34,0.5313,0.0815,0.0397,0.0,0.0434,0.1242,0.0,0.0,0.0,0.0309,0.086,0.0,0.0,0.0,0.0355,0.0,0.0132,0.0143,1.614
35,0.1201,0.3500999999999999,0.0250999999999999,0.0,0.0,0.1501,0.0992,0.0802,0.0,0.1704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6223
36,0.0,0.0,0.0954,0.0,0.0,0.0321,0.5118,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.355,1.542
37,0.7122,0.0,0.1489,0.03,0.0,0.0,0.0889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,1.536
38,0.334,0.3329999999999999,0.0,0.0,0.0,0.0,0.0,0.3329999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.526
39,0.3515999999999999,0.0,0.0,0.0,0.0562,0.0617,0.0,0.1272,0.0334,0.0,0.0,0.0,0.0,0.0,0.306,0.0,0.0512,0.0,1.804
40,0.5999,0.0,0.077,0.0455,0.1645,0.0,0.0,0.0,0.002,0.0,0.0691,0.0,0.0,0.0,0.042,0.0,0.0,0.0,1.588
41,0.1884,0.1944,0.0,0.0,0.0,0.2271,0.0,0.0,0.0184,0.0,0.0,0.0,0.0206,0.0728,0.2348,0.0,0.0289,0.0,1.857
42,0.7364,0.2226,0.0409999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.461
43,0.6777,0.0481,0.099,0.0322,0.0596999999999999,0.0321,0.0,0.0226,0.0,0.0,0.0141999999999999,0.0,0.0,0.0,0.0,0.0,0.0144,0.0,1.53
44,0.6726000000000001,0.0893,0.0122,0.0,0.0886999999999999,0.0,0.0208,0.0702,0.0462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.533
45,0.0,0.0,0.154,0.257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5760000000000001,1.4934
46,0.31,0.35,0.005,0.05,0.04,0.04,0.105,0.0,0.0,0.0,0.06,0.0,0.0,0.02,0.0,0.0,0.0,0.0,1.62085
47,0.6459999999999999,0.0,0.0,0.0,0.1051,0.0,0.0103,0.1201,0.0033,0.0,0.0,0.0,0.0,0.0,0.1148,0.0,0.0,0.0,1.604
48,0.4968,0.1496,0.0237999999999999,0.0,0.0,0.1132,0.151,0.0336,0.0,0.0256,0.0033,0.0,0.0,0.0,0.0026,0.0,0.0,0.0,1.5874
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.0,0.0,1.64
50,0.6898000000000001,0.1846,0.0369,0.0,0.0,0.0056999999999999,0.0315,0.0243,0.0107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48
51,0.758,0.0,0.0,0.0,0.1609,0.0,0.0,0.0810999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.523
52,0.583,0.167,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.525
53,0.0,0.1338,0.0245,0.0686,0.0294,0.1696,0.1191,0.0,0.0,0.0,0.0819,0.0,0.0,0.0,0.0,0.0,0.0,0.3628,1.59
